"S21 Log Mag"
"Freq (Hz)","dB",
10508593750, -2.581714e+000,
10509375000, -2.577885e+000,
10510156250, -2.587860e+000,
10510937500, -2.577102e+000,
10511718750, -2.581113e+000,
10512500000, -2.586120e+000,
10513281250, -2.578763e+000,
10514062500, -2.583333e+000,
10514843750, -2.587293e+000,
10515625000, -2.586840e+000,
10516406250, -2.587907e+000,
10517187500, -2.591665e+000,
10517968750, -2.599555e+000,
10518750000, -2.595225e+000,
10519531250, -2.596198e+000,
10520312500, -2.598312e+000,
10521093750, -2.598658e+000,
10521875000, -2.593718e+000,
10522656250, -2.600168e+000,
10523437500, -2.599389e+000,
10524218750, -2.585736e+000,
10525000000, -2.588822e+000,
10525781250, -2.584518e+000,
10526562500, -2.584730e+000,
10527343750, -2.586809e+000,
10528125000, -2.578799e+000,
10528906250, -2.577461e+000,
10529687500, -2.582067e+000,
10530468750, -2.584386e+000,
10531250000, -2.581001e+000,
10532031250, -2.576065e+000,
10532812500, -2.572474e+000,
10533593750, -2.575306e+000,
10534375000, -2.572137e+000,
10535156250, -2.564933e+000,
10535937500, -2.569955e+000,
10536718750, -2.568131e+000,
10537500000, -2.566053e+000,
10538281250, -2.563288e+000,
10539062500, -2.566998e+000,
10539843750, -2.567533e+000,
10540625000, -2.568577e+000,
10541406250, -2.562552e+000,
10542187500, -2.564995e+000,
10542968750, -2.560715e+000,
10543750000, -2.566402e+000,
10544531250, -2.560104e+000,
10545312500, -2.568825e+000,
10546093750, -2.563852e+000,
10546875000, -2.564919e+000,
10547656250, -2.561779e+000,
10548437500, -2.566797e+000,
10549218750, -2.565784e+000,
10550000000, -2.563671e+000,
10550781250, -2.566315e+000,
10551562500, -2.564648e+000,
10552343750, -2.562962e+000,
10553125000, -2.564824e+000,
10553906250, -2.569204e+000,
10554687500, -2.573813e+000,
10555468750, -2.584267e+000,
10556250000, -2.576314e+000,
10557031250, -2.580132e+000,
10557812500, -2.585466e+000,
10558593750, -2.580285e+000,
10559375000, -2.577910e+000,
10560156250, -2.577164e+000,
10560937500, -2.576490e+000,
10561718750, -2.588673e+000,
10562500000, -2.584392e+000,
10563281250, -2.577621e+000,
10564062500, -2.587387e+000,
10564843750, -2.579904e+000,
10565625000, -2.587065e+000,
10566406250, -2.582386e+000,
10567187500, -2.577943e+000,
10567968750, -2.574717e+000,
10568750000, -2.579563e+000,
10569531250, -2.582231e+000,
10570312500, -2.574490e+000,
10571093750, -2.574298e+000,
10571875000, -2.571891e+000,
10572656250, -2.576942e+000,
10573437500, -2.565674e+000,
10574218750, -2.564873e+000,
10575000000, -2.571942e+000,
10575781250, -2.562853e+000,
10576562500, -2.561074e+000,
10577343750, -2.559620e+000,
10578125000, -2.558506e+000,
10578906250, -2.555500e+000,
10579687500, -2.551145e+000,
10580468750, -2.547359e+000,
10581250000, -2.544555e+000,
10582031250, -2.549138e+000,
10582812500, -2.536414e+000,
10583593750, -2.534662e+000,
10584375000, -2.533579e+000,
10585156250, -2.540798e+000,
10585937500, -2.532410e+000,
10586718750, -2.525217e+000,
10587500000, -2.526345e+000,
10588281250, -2.525173e+000,
10589062500, -2.514163e+000,
10589843750, -2.517544e+000,
10590625000, -2.520840e+000,
10591406250, -2.527173e+000,
10592187500, -2.526353e+000,
10592968750, -2.520696e+000,
10593750000, -2.526017e+000,
10594531250, -2.524110e+000,
10595312500, -2.528281e+000,
10596093750, -2.532709e+000,
10596875000, -2.539656e+000,
10597656250, -2.542431e+000,
10598437500, -2.546897e+000,
10599218750, -2.551511e+000,
10600000000, -2.546908e+000,
10600781250, -2.556775e+000,
10601562500, -2.555334e+000,
10602343750, -2.561901e+000,
10603125000, -2.557926e+000,
10603906250, -2.569534e+000,
10604687500, -2.570407e+000,
10605468750, -2.573195e+000,
10606250000, -2.573675e+000,
10607031250, -2.574470e+000,
