Type;FSV-40;
Version;2.30 SP1;
Date;08.Jan 16;
Mode;ANALYZER;
Center Freq;10000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;1000000.000000;Hz
x-Axis;LIN;
Start;9999500000.000000;Hz
Stop;10000500000.000000;Hz
Ref Level;-68.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;1.000000;Hz
VBW;1.000000;Hz
SWT;11.377200;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
9999895652.17383;-136.32742309570312;-187.70005798339844
9999897101.449192;-137.906982421875;-185.95677185058594
9999898550.7245541;-137.51622009277344;-195.00373840332031
9999899999.9999161;-136.63035583496094;-188.13093566894531
9999901449.2752781;-136.74311828613281;-183.25151062011719
9999902898.5506401;-137.46713256835937;-192.67506408691406
9999904347.8260021;-136.71891784667969;-194.70404052734375
9999905797.1013641;-136.15475463867187;-191.38577270507812
9999907246.3767262;-136.17095947265625;-192.05880737304687
9999908695.6520882;-136.48002624511719;-185.27102661132812
9999910144.9274502;-135.60397338867187;-185.75445556640625
9999911594.2028122;-137.58761596679687;-200
9999913043.4781742;-136.30833435058594;-187.91000366210937
9999914492.7535362;-135.05853271484375;-186.33058166503906
9999915942.0288982;-136.77876281738281;-183.05526733398437
9999917391.3042603;-135.77201843261719;-193.11308288574219
9999918840.5796223;-136.51042175292969;-185.90017700195312
9999920289.8549843;-136.57951354980469;-196.03288269042969
9999921739.1303463;-137.46763610839844;-185.10597229003906
9999923188.4057083;-136.94691467285156;-184.29904174804687
9999924637.6810703;-136.79986572265625;-181.16481018066406
9999926086.9564323;-137.17025756835937;-192.56048583984375
9999927536.2317944;-137.49563598632812;-186.64610290527344
9999928985.5071564;-137.69735717773437;-188.16490173339844
9999930434.7825184;-137.404296875;-189.13978576660156
9999931884.0578804;-137.45478820800781;-185.52177429199219
9999933333.3332424;-136.71775817871094;-193.25387573242187
9999934782.6086044;-136.94076538085937;-187.84719848632812
9999936231.8839664;-135.16645812988281;-187.48658752441406
9999937681.1593285;-135.39506530761719;-189.66648864746094
9999939130.4346905;-135.31182861328125;-182.53866577148437
9999940579.7100525;-136.53048706054687;-182.82475280761719
9999942028.9854145;-136.23731994628906;-200
9999943478.2607765;-136.8614501953125;-196.42056274414062
9999944927.5361385;-136.11878967285156;-190.06944274902344
9999946376.8115005;-125.24370574951172;-186.01979064941406
9999947826.0868626;-137.67112731933594;-189.80355834960937
9999949275.3622246;-138.35317993164062;-195.59197998046875
9999950724.6375866;-135.48193359375;-185.92587280273438
9999952173.9129486;-135.70822143554687;-185.64129638671875
9999953623.1883106;-136.53961181640625;-199.54139709472656
9999955072.4636726;-136.11256408691406;-199.38485717773437
9999956521.7390347;-136.50794982910156;-199.11201477050781
9999957971.0143967;-137.31373596191406;-193.70661926269531
9999959420.2897587;-136.59037780761719;-187.012451171875
9999960869.5651207;-137.05722045898437;-194.53640747070312
9999962318.8404827;-136.48187255859375;-186.19764709472656
9999963768.1158447;-137.02645874023437;-183.82289123535156
9999965217.3912067;-137.11880493164062;-197.72879028320312
9999966666.6665688;-137.10539245605469;-183.78849792480469
9999968115.9419308;-136.992919921875;-194.61053466796875
9999969565.2172928;-136.83546447753906;-187.74690246582031
9999971014.4926548;-136.56390380859375;-187.96018981933594
9999972463.7680168;-137.31216430664062;-186.78021240234375
9999973913.0433788;-137.59263610839844;-183.41229248046875
9999975362.3187408;-136.98193359375;-188.13287353515625
9999976811.5941029;-137.0780029296875;-182.63119506835937
9999978260.8694649;-138.57109069824219;-190.63209533691406
9999979710.1448269;-137.10237121582031;-191.86357116699219
9999981159.4201889;-136.97911071777344;-194.3167724609375
9999982608.6955509;-137.44674682617187;-198.20584106445312
9999984057.9709129;-137.19268798828125;-185.29597473144531
9999985507.2462749;-137.79695129394531;-188.76866149902344
9999986956.521637;-136.21600341796875;-183.84825134277344
9999988405.796999;-137.31671142578125;-182.48979187011719
9999989855.072361;-137.09242248535156;-184.354736328125
9999991304.347723;-136.29029846191406;-186.28953552246094
9999992753.623085;-137.34457397460937;-186.46990966796875
9999994202.898447;-137.69548034667969;-174.52619934082031
9999995652.1738091;-137.70396423339844;-172.03814697265625
9999997101.4491711;-138.58879089355469;-173.62991333007812
9999998550.7245331;-138.29583740234375;-168.64851379394531
9999999999.9998951;-128.16787719726562;-169.09169006347656
10000001449.275257;-138.94400024414062;-166.44895935058594
10000002898.550619;-138.56536865234375;-175.19154357910156
10000004347.825981;-138.53099060058594;-176.13961791992187
10000005797.101343;-137.738037109375;-176.00767517089844
10000007246.376705;-136.94892883300781;-182.62686157226562
10000008695.652067;-137.42588806152344;-194.05783081054687
10000010144.927429;-137.35757446289062;-192.27728271484375
10000011594.202791;-125.57194519042969;-198.05961608886719
10000013043.478153;-137.32757568359375;-185.63186645507812
10000014492.753515;-137.07652282714844;-186.08753967285156
10000015942.028877;-137.27734375;-191.54292297363281
10000017391.304239;-137.42416381835937;-183.69873046875
10000018840.579601;-138.03886413574219;-200
10000020289.854963;-137.32853698730469;-196.00820922851562
10000021739.130325;-136.59759521484375;-189.70562744140625
10000023188.405687;-137.27987670898437;-183.61709594726562
10000024637.681049;-136.55322265625;-191.76960754394531
10000026086.956411;-136.72502136230469;-188.84933471679687
10000027536.231773;-137.02134704589844;-183.09953308105469
10000028985.507135;-136.03347778320312;-185.69007873535156
10000030434.782497;-136.70918273925781;-190.86628723144531
10000031884.057859;-137.32159423828125;-182.80886840820313
10000033333.333221;-137.0145263671875;-189.89701843261719
10000034782.608583;-137.91165161132812;-183.94052124023437
10000036231.883945;-136.88874816894531;-185.56358337402344
10000037681.159307;-137.16139221191406;-196.37458801269531
10000039130.434669;-137.37144470214844;-191.62629699707031
10000040579.710032;-137.47273254394531;-187.76313781738281
10000042028.985394;-136.60340881347656;-181.99728393554687
10000043478.260756;-136.43882751464844;-191.47662353515625
10000044927.536118;-133.91743469238281;-195.8826904296875
10000046376.81148;-136.30418395996094;-190.03858947753906
10000047826.086842;-137.30783081054687;-195.2164306640625
10000049275.362204;-137.30162048339844;-196.22113037109375
10000050724.637566;-136.83903503417969;-179.98863220214844
10000052173.912928;-136.48309326171875;-187.55865478515625
10000053623.18829;-136.99290466308594;-186.77030944824219
10000055072.463652;-136.37007141113281;-189.97108459472656
10000056521.739014;-137.4945068359375;-187.28608703613281
10000057971.014376;-136.95639038085937;-189.13775634765625
10000059420.289738;-135.69027709960937;-193.08924865722656
10000060869.5651;-136.44477844238281;-192.593994140625
10000062318.840462;-135.95701599121094;-184.36271667480469
10000063768.115824;-135.71342468261719;-190.82090759277344
10000065217.391186;-136.69102478027344;-186.78773498535156
10000066666.666548;-137.09732055664062;-197.12789916992187
10000068115.94191;-136.1890869140625;-184.48460388183594
10000069565.217272;-136.18621826171875;-188.98086547851562
10000071014.492634;-136.91893005371094;-190.03460693359375
10000072463.767996;-137.71394348144531;-188.523193359375
10000073913.043358;-135.28617858886719;-183.13209533691406
10000075362.31872;-136.77432250976563;-193.37466430664062
10000076811.594082;-127.04649353027344;-189.49388122558594
10000078260.869444;-137.65957641601562;-189.1297607421875
10000079710.144806;-137.69706726074219;-200
10000081159.420168;-136.68400573730469;-187.70980834960937
10000082608.69553;-136.14228820800781;-186.28373718261719
10000084057.970892;-137.67262268066406;-193.99467468261719
10000085507.246254;-136.73251342773437;-191.15306091308594
10000086956.521616;-135.5550537109375;-191.32073974609375
10000088405.796978;-137.71047973632812;-189.22836303710937
10000089855.07234;-136.90005493164062;-194.386962890625
10000091304.347702;-138.08753967285156;-188.74153137207031
10000092753.623064;-135.79315185546875;-197.13450622558594
10000094202.898426;-137.33607482910156;-192.33984375
10000095652.173788;-136.45663452148437;-188.01118469238281
10000097101.44915;-135.714111328125;-186.64778137207031
10000098550.724512;-137.14692687988281;-186.93878173828125
10000099999.999874;-137.35690307617187;-200
10000101449.275236;-137.11297607421875;-189.57530212402344
10000102898.550598;-137.37355041503906;-191.75065612792969
10000104347.82596;-136.20947265625;-192.77439880371094
10000105797.101322;-137.74897766113281;-191.88034057617187
10000107246.376684;-137.33201599121094;-192.64860534667969
10000108695.652046;-125.27338409423828;-195.56681823730469
10000110144.927408;-137.4422607421875;-191.56816101074219
10000111594.20277;-137.09779357910156;-188.06321716308594
10000113043.478132;-137.41844177246094;-181.81201171875
10000114492.753494;-136.89111328125;-182.39533996582031
10000115942.028856;-137.46891784667969;-196.28446960449219
10000117391.304218;-137.27336120605469;-183.38589477539062
10000118840.57958;-137.12936401367187;-195.07675170898437
10000120289.854942;-136.24917602539062;-192.064697265625
10000121739.130304;-136.26638793945312;-193.34634399414062
10000123188.405666;-136.30734252929687;-188.36993408203125
10000124637.681028;-136.51596069335937;-187.76829528808594
10000126086.95639;-136.87228393554687;-189.667724609375
10000127536.231752;-137.29788208007812;-183.22471618652344
10000128985.507114;-136.92483520507812;-187.92408752441406
10000130434.782476;-136.9580078125;-193.35916137695312
10000131884.057838;-136.0223388671875;-186.51869201660156
10000133333.3332;-138.11431884765625;-193.17762756347656
10000134782.608562;-136.43226623535156;-187.48179626464844
10000136231.883924;-137.76329040527344;-187.83485412597656
10000137681.159286;-136.49893188476562;-197.75503540039062
10000139130.434649;-136.88243103027344;-190.77189636230469
10000140579.710011;-136.35458374023437;-200
10000142028.985373;-137.47659301757812;-200
10000143478.260735;-137.38487243652344;-193.427001953125
